Voucher Printing,چاپ سند
Show Print Voucher,نمایش چاپ سند اصلی
Show Print GL,نمایش چاپ سند حسابداری
Source Voucher Print Format,فرمت چاپ سند اصلی
Voucher GL Printing,چاپ سند حسابداری
Profile,پروفایل چاپ
Page Layout,جهت صفحه
Show Logo,نمایش لوگو
Show Letterhead,نمایش سربرگ
Show Amount in Words,نمایش مبلغ به حروف
Show Signature Block,نمایش بخش امضا
Show Attachments,نمایش پیوست‌ها
Hide Empty Columns,حذف ستون‌های خالی
Combine Dimensions,تجمیع ابعاد تحلیلی
Amount Scale,مقیاس نمایش مبلغ
Show Account Hierarchy,نمایش سلسله‌مراتب حساب
Hierarchy Start Level,شروع نمایش از سطح حساب
Show Party Breakdown,تفکیک طرف حساب
Show Dimension Breakdown,تفکیک ابعاد تحلیلی
Show Group Subtotals,نمایش جمع گروه‌ها
Account Explorer,مرور حساب
Accounting Voucher,سند حسابداری
Voucher GL Print Format,فرمت چاپ سند حسابداری
Amount Display Scale,مقیاس نمایش مبلغ
Default Amount Display Scale,مقیاس پیش‌فرض نمایش مبلغ
Auto Orientation,جهت خودکار
Use Default,استفاده از پیش‌فرض
Voucher GL Print Language,زبان چاپ سند حسابداری
Persian,فارسی
English,انگلیسی
Follow User Language,مطابق زبان کاربر
Cheque Purpose,بابت
Post Dated Cheque,چک مدت‌دار
Is Debt Purchase,خرید دین
Default Debt Purchase In Collection Account,حساب پیش‌فرض اسناد در جریان وصول خرید دین
Assigned to Bank for Debt Purchase,واگذار به بانک جهت خرید دین
Debt Purchase Settled,تسویه خرید دین
Debt Purchase In Collection,در جریان وصول خرید دین
Repayment Method,روش پرداخت قسط
Bank Account,حساب بانکی
Debt Purchase Cheque,چک خرید دین
Debt Purchase Facility,تسهیلات خرید دین
Debt Purchase Facility Repayment,بازپرداخت تسهیلات خرید دین
Assign for Debt Purchase,واگذاری جهت خرید دین
Return Debt Purchase Cheque,عودت چک خرید دین
Debt Purchase Assignment,واگذاری خرید دین
Debt Purchase Settlement,تسویه خرید دین
